City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
2145554.0,salalah,40.0,AU,1596082742.0,55.0,-35.35,150.47,16.11,5.1
2137748.0,gadarwara,36.0,NC,1596082743.0,67.0,-20.97,164.7,26.62,1.99
3170094.0,ketchikan,0.0,IT,1596082744.0,69.0,42.81,10.31,23.33,1.27
2126123.0,saint-philippe,56.0,RU,1596082745.0,49.0,70.63,147.92,12.99,4.4
2136825.0,lamu,38.0,VU,1596082747.0,65.0,-19.55,169.27,27.0,5.7
986717.0,trofors,0.0,ZA,1596082747.0,77.0,-34.0,24.73,12.22,1.34
2427036.0,koyelga,100.0,TD,1596082748.0,81.0,11.78,17.17,21.69,6.53
2537881.0,muzhi,12.0,MA,1596082752.0,91.0,32.3,-9.24,20.15,5.69
2126199.0,dikson,9.0,RU,1596082753.0,56.0,68.75,161.3,10.54,7.86
207596.0,yellowknife,0.0,CD,1596082754.0,45.0,-4.85,21.57,18.83,0.36
3374083.0,kavieng,40.0,BB,1596082755.0,78.0,13.22,-59.52,28.0,6.7
2208248.0,surok,100.0,NZ,1596082756.0,71.0,-46.28,169.85,12.78,1.79
5712169.0,vaitupu,1.0,US,1596082760.0,49.0,44.77,-117.83,26.67,6.7
1490085.0,anadyr,26.0,RU,1596082761.0,58.0,64.92,77.78,17.01,4.38
3395981.0,carnarvon,75.0,BR,1596082764.0,100.0,-9.67,-35.74,21.0,1.5
4031742.0,mount isa,100.0,RU,1596082764.0,87.0,66.32,-179.17,9.26,0.88
3639898.0,kathmandu,75.0,VE,1596082765.0,94.0,10.48,-66.54,25.0,1.44
2246451.0,mapimi,75.0,SN,1596082765.0,94.0,16.33,-15.0,24.0,1.0
2395182.0,russell,43.0,BJ,1596082766.0,99.0,10.23,2.66,20.61,2.39
3948613.0,ulladulla,52.0,PE,1596082767.0,57.0,-15.43,-74.62,15.87,1.69
1812955.0,voh,60.0,CN,1596082768.0,38.0,37.45,116.29,35.03,4.21
737021.0,portoferraio,0.0,TR,1596082768.0,72.0,41.25,31.83,17.82,1.27
